	title	link_to_tools	tag	views	citations_amount	altmetric_score	journal	authors	topics	abstract	date	citations_link	link	doi	references	all_links	altmetric_link	year
0	"Discovery of significant rules for classifying cancer diagnosis
  data"	http://sdmc.i2r.a-star.edu.sg/GEDatasets/supplementaldata/eccb2003/ECCB2003.html,http://jinyan@i2r.a-star.edu.sg	ORIGINAL PAPER	14	9	0	Bioinformatics Oxford	Jinyan Li,Huiqing Liu,See-Kiong Ng,Limsoon Wong	NULL	Methods and Results: We introduce a new method to discovermany diversified and significant rules from high dimensionalprofiling data. We also propose to aggregate the discriminating powerof these rules for reliable predictions. The discovered rules arefound to contain low-ranked features; these features are found to besometimes necessary for classifiers to achieve perfect accuracy. Theuse of low-ranked but essential features in our method is inconstrast to the prevailing use of an ad-hoc number of onlytop-ranked features. On a wide range of data sets, our methoddisplayed highly competitive accuracy compared to the bestperformance of other kinds of classification models. In addition toaccuracy, our method also provides comprehensible rules to helpelucidate the translation between raw data and usefulknowledge.Supplementary information:http://sdmc.i2r.a-star.edu.sg/GEDatasets/supplementaldata/eccb2003/ECCB2003.html.Contact:jinyan@i2r.a-star.edu.sg*To whom correspondence should beaddressed.	2003-09-27	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000207434300012&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/suppl_2/ii93/180341/Discovery-of-significant-rules-for-classifying	10.1093/bioinformatics/btg1066	NULL	http://jinyan@i2r.a-star.edu.sg	NULL	NULL
1	Parallel BLAST on split databases	NULL	APPLICATIONS NOTES	23	31	0	Bioinformatics Oxford	David R. Mathog	NULL	Summary:BLAST programs often run on large SMP machines where multiple threads can work simultaneously and there is enough memory to cache the databases between program runs. A group of programs is described which allows comparable performance to be achieved with a Beowulf configuration in which no node has enough memory to cache a database but the cluster as an aggregate does. To achieve this result, databases are split into equal sized pieces and stored locally on each node. Each query is run on all nodes in parallel and the resultant BLAST output files from all nodes merged to yield the final output.Availability:Source code is available fromftp://saf.bio.caltech.edu/	2003-09-22	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000185701100025&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/14/1865/246052/Parallel-BLAST-on-split-databases	10.1093/bioinformatics/btg250	NULL	http://mathog@caltech.edu	NULL	NULL
2	Web-based exchange of biochemical information	http://projects.eml.org/sdbv/wbe/	APPLICATIONS NOTES	9	4	0	Bioinformatics Oxford	Sinan Güler,Andreas Eberhart,Isabel Rojas	NULL	Summary:In this paper we present a web-based system for the semantic integration of biological data using a database model and an XML exchange format. The prototype developed integrates data related to enzymes.Availability:http://projects.eml.org/sdbv/wbe/	2003-09-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000185310600025&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/13/1730/225188/Web-based-exchange-of-biochemical-information	10.1093/bioinformatics/btg234	NULL	http://andreas.eberhart@i-u.de,http://projects.eml.org/sdbv/wbe/	NULL	NULL
3	Digital extractor: analysis of digital differential display output	http://pdoran.genome@mater.ie	APPLICATIONS NOTE	18	5	0	Bioinformatics Oxford	Stephen F. Madden,Barry O’Donovan,Simon J. Furney,Hugh R. Brady,Guenole Silvestre,Peter P. Doran	NULL	Summary: Digital Extractor is a program for the high-throughput processing of data sets derived from digital differential display-basedcomparisons of EST libraries. These comparisons can be utilized to identifydiscrete subsets of genes whose expression is restricted to distinct tissuetypes. The program facilitates these investigations by permitting parallelannotation of genes identified as being differentially expressed.Availability: The executable program, suitable for use on all UNIX-basedplatforms is freely available to non-profit users.Contact:pdoran.genome@mater.ie*To whom correspondenceshould be addressed.	2003-08-12	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000184878700025&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/12/1594/258145/Digital-extractor-analysis-of-digital-differential	10.1093/bioinformatics/btg198	NULL	http://pdoran.genome@mater.ie	NULL	NULL
4	"Triplet repeats in human genome: distribution and
their association with genes and other genomic regions"	NULL	REPLY TO THE READER'S COMMENTS	10	0	0	Bioinformatics Oxford	NULL	NULL	NULL	2003-07-22	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fbioinformatics%2farticle%2f19%2f11%2f1455%2f220944	https://academic.oup.com/bioinformatics/article/19/11/1455/220944/Triplet-repeats-in-human-genome-distribution-and	10.1093/bioinformatics/btg322	NULL	NULL	NULL	NULL
5	MASS: multiple structural alignment by secondary structures	http://bioinfo3d.cs.tau.ac.il/MASS,http://oranit@post.tau.ac.il	ORIGINAL PAPER	81	41	0	Bioinformatics Oxford	O. Dror,H. Benyamini,R. Nussinov,H. Wolfson	NULL	We present a novel method for multiple alignment of protein structures and detection of structural motifs. To date, only a few methods are available for addressing this task. Most of them are based on a series of pairwise comparisons. In contrast, MASS (MultipleAlignment bySecondaryStructures) considers all the given structures at the same time. Exploiting the secondary structure representation aids in filtering out noisy results and in making the method highly efficient and robust. MASS disregards the sequence order of the secondary structure elements. Thus, it can find non-sequential and even non-topological structural motifs. An important novel feature of MASS is subset alignment detection: It does not require that all the input molecules be aligned. Rather, MASS is capable of detecting structural motifs shared only by a subset of the molecules. Given its high efficiency and capability of detecting subset alignments, MASS is suitable for a broad range of challenging applications: It can handle large-scale protein ensembles (on the order of tens) that may be heterogeneous, noisy, topologically unrelated and contain structures of low resolution.Keywords: Structural Bioinformatics, Subset alignment, Non-sequential alignment, Non-topological motif, Supersecondary structural motifAvailability: MASS program and more information about it are available onhttp://bioinfo3d.cs.tau.ac.il/MASSContact:oranit@post.tau.ac.il*To whom correspondenceshould be addressed.	2003-07-03	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000207434200014&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/suppl_1/i95/227775/MASS-multiple-structural-alignment-by-secondary	10.1093/bioinformatics/btg1012	NULL	http://bioinfo3d.cs.tau.ac.il/MASS,http://oranit@post.tau.ac.il	NULL	NULL
6	HaploBlockFinder:  haplotype block analyses	http://cgi.uc.edu/cgi-bin/kzhang/haploBlockFinder.cgi,http://jinl@ucmail.uc.edu	APPLICATIONS NOTE	33	88	0	Bioinformatics Oxford	Kun Zhang,Li Jin	NULL	Summary: Recent studies have unveiled discrete block-like structures of linkage disequilibrium (LD) in the human genome. We have developed a set of computer programs to analyze the block-like LD structures (haplotype blocks) based on haplotype data. Three definitions of haplotype block are supported, including minimal LD range, no historic recombination, and chromosome coverage. Tagged SNPs that uniquely distinguish common haplotypes are identified. A greedy algorithm was used to improve the efficiency.Two separate utilities were also provided to assist visual inspection of haplotype block structure and pattern of linkage disequilibrium.Availability: A web interface for the HaploBlockFinder is available athttp://cgi.uc.edu/cgi-bin/kzhang/haploBlockFinder.cgithe source codes are also freely available on the web site.Contact:jinl@ucmail.uc.edu*To whom correspondenceshould be addressed.	2003-07-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000184145200021&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/10/1300/184379/HaploBlockFinder-haplotype-block-analyses	10.1093/bioinformatics/btg142	NULL	http://cgi.uc.edu/cgi-bin/kzhang/haploBlockFinder.cgi,http://jinl@ucmail.uc.edu	NULL	NULL
7	Genescript: DNA sequence annotation pipeline	http://tcag.bioinfo.sickkids.on.ca/genescript/,http://alex@genet.sickkids.on.ca	APPLICATIONS NOTE	19	5	0	Bioinformatics Oxford	Alexander K. Hudek,Joseph Cheung,Andrew P. Boright,Stephen W. Scherer	NULL	Summary: Genescript uses a number of publicly available analysis programs to annotate a DNA sequence. It provides an integrated display of results from each program, and includes an evidence-based scoring system that gives informative summaries of predicted gene modelsAvailability: Genescript is available for download fromhttp:://tcag.bioinfo.sickkids.on.ca/genescript/Contact:alex@genet.sickkids.on.ca*To whom correspondenceshould be addressed.	2003-06-12	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000183528300019&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/9/1177/285023/Genescript-DNA-sequence-annotation-pipeline	10.1093/bioinformatics/btg134	NULL	http://tcag.bioinfo.sickkids.on.ca/genescript/,http://alex@genet.sickkids.on.ca	NULL	NULL
8	"CAP: conformation angles package—displaying
the conformation angles of side chains in proteins"	http://144.16.71.146/cap/,http://sekar@physics.iisc.ernet.in	APPLICATIONS NOTE	14	2	0	Bioinformatics Oxford	S. S. Sheik,P. Sundararajan,V. Shanthi,K. Sekar	NULL	Summary: A graphics package has been developed to display all side chain conformation angles of the user selected residue in a given proteinstructure. The proposed package is incorporated with all the proteinstructures (solved using X-ray diffraction and NMR spectroscopy) availablein the Protein Data Bank. The package displays the multiple conformationsadopted by a single amino acid residue whose structure is solved and refinedat very high resolution. In addition, it shows the percentage distributionof the side chain conformation angles in different rotameric states.Availability:http://144.16.71.146/cap/Contact:sekar@physics.iisc.ernet.in*To whom correspondenceshould be addressed.	2003-05-22	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000183095300022&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/8/1043/235406/CAP-conformation-angles-package-displaying-the	10.1093/bioinformatics/btg125	NULL	http://144.16.71.146/cap/,http://sekar@physics.iisc.ernet.in	NULL	NULL
9	IPPRED: server for proteins interactions inference	http://cbi.labri.fr/outils/ippred/,http://Antoine.daruvar@pmtg.u-bordeaux2.fr	APPLICATIONS NOTE	21	13	0	Bioinformatics Oxford	Nicolas Goffard,Virginie Garcia,Florian Iragne,Alexis Groppi,Antoine de Daruvar	NULL	Summary: IPPRED is a web based server to infer protein–proteininteractions through homology search between candidate proteins and thosedescribed as interacting. This simple inference allows to propose or tovalidate potential interactions.Availability: IPPRED is freely available athttp://cbi.labri.fr/outils/ippred/.Contact:Antoine.daruvar@pmtg.u-bordeaux2.fr*To whom correspondenceshould be addressed.	2003-05-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000182634800021&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/7/903/197508/IPPRED-server-for-proteins-interactions-inference	10.1093/bioinformatics/btg091	NULL	http://cbi.labri.fr/outils/ippred/,http://Antoine.daruvar@pmtg.u-bordeaux2.fr	NULL	NULL
